model,accuracy,precision,recall,f1,roc_auc,mlflow_run_id
random_forest,0.7544357700496807,0.5256410256410257,0.767379679144385,0.6239130434782608,0.8410537601074685,4f5533a22d6b4b98a65ccc233ca75a58
logistic_regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8412978893797307,0259bc7823634527b06f5f1b55271ebb
gradient_boosting,0.8055358410220014,0.676056338028169,0.5133689839572193,0.5835866261398176,0.845463587279444,ee37f6c228c747049e1da53476056a75
